time,lon,lat,v,u
1051896,6.0,44.0,-2.2537863092540507,-1.0558583646084525
1051896,6.25,44.0,-1.3280230606808128,-1.563657160035083
1051896,6.5,44.0,-0.7215617585029024,-1.4963078096243163
1051896,6.75,44.0,-0.4813419128001648,-0.8527898686729602
1051896,7.0,44.0,-0.7323231544789754,-0.7657969577257204
1051896,7.25,44.0,-0.9794104699822335,-0.6789316023663798
1051896,7.5,44.0,-1.192302033798364,-0.5597946832685468
1051896,7.75,44.0,-0.7440757316633712,-0.21411904006177274
1051896,8.0,44.0,-0.056549966376225766,0.12875038021121954
1051896,6.0,43.75,-2.284088134765625,-0.5734431311737591
1051896,6.25,43.75,-2.130738242106583,-1.19451128865486
1051896,6.5,43.75,-1.7147253292420719,-1.2618606390656262
1051896,6.75,43.75,-1.4696203761554592,-1.0822623713035826
1051896,7.0,43.75,-0.9764369263572659,-0.8410547545862359
1051896,7.25,43.75,-0.7977411142282621,-0.5910458023038458
1051896,7.5,43.75,0.02451449673300928,0.02708857665557396
1051896,7.75,43.75,0.9414987117468191,0.8845172385138529
1051896,8.0,43.75,1.6290244770339646,1.3981835909838454
1051896,6.0,43.5,-2.216687812599693,0.7898709922926623
1051896,6.25,43.5,-2.032115711878492,0.4186842315060526
1051896,6.5,43.5,-1.7147253292420719,0.10528015203777064
1051896,6.75,43.5,-1.3642011747845848,-0.07342522660897877
1051896,7.0,43.5,-0.6620200873458135,0.25464774546770874
1051896,7.25,43.5,0.21198934242144107,0.8914052402604086
1051896,7.5,43.5,1.0733258124537148,1.6619685467593468
1051896,7.75,43.5,1.7354348596131612,2.3757696166431503
1051896,8.0,43.5,2.049922497282351,2.810351504615652
1051896,6.0,43.25,-1.7567797319380418,2.217600687648169
1051896,6.25,43.25,-0.668887557146334,2.7868812764422035
1051896,6.5,43.25,-0.34951481209326907,2.4714363075675347
1051896,6.75,43.25,0.34778116796162695,2.9275750898949973
1051896,7.0,43.25,0.7412801076656692,3.3766983148880056
1051896,7.25,43.25,1.6182630810578913,4.0174100329055795
1051896,7.5,43.25,1.8594741079689514,4.12774561643837
1051896,7.75,43.25,2.0167179268035462,3.936284679001702
1051896,8.0,43.25,2.332125947023321,4.372907456380591
1051896,6.0,43.0,-1.2831367116753498,3.5369081332893737
1051896,6.25,43.0,-0.212802604002498,4.220478528841072
1051896,6.5,43.0,0.45419155054082366,4.937340932834456
1051896,6.75,43.0,1.1592753829468252,5.5135095233750455
1051896,7.0,43.0,1.4913210877348708,5.868879391262158
1051896,7.25,43.0,1.6905485106076983,5.7224455763539
1051896,7.5,43.0,1.8487127119928783,5.668744673848346
1051896,7.75,43.0,1.9981686784763675,5.306486804214678
1051896,8.0,43.0,2.355560302734375,4.7517475524411505
1051896,6.0,42.75,-0.9471970807117513,4.167798071038711
1051896,6.25,42.75,-0.5311841678472403,4.88070625180722
1051896,6.5,42.75,-0.07899314087895722,5.428557501834193
1051896,6.75,42.75,0.5039630069301618,6.007659870896465
1051896,7.0,42.75,0.7774582217694413,6.0662078857421875
1051896,7.25,42.75,1.0176780674721788,5.978322085679652
1051896,7.5,42.75,1.1319471010602185,5.610196659002623
1051896,7.75,42.75,1.3282009803080783,4.984153833593455
1051896,8.0,42.75,1.7471874367975568,4.361172342293866
1051896,6.0,42.5,-0.6542322349947081,3.8943188905828725
1051896,6.25,42.5,-0.6346918054592068,4.446124363834719
1051896,6.5,42.5,-0.5907258390043292,4.768329778868044
1051896,6.75,42.5,-0.32997438255776784,5.051503184004221
1051896,7.0,42.5,-0.14540228183656634,5.12778142556793
1051896,7.25,42.5,0.0313111678757923,4.976372942731604
1051896,7.5,42.5,0.228627026989712,4.660927973856936
1051896,7.75,42.5,0.3672507988393908,4.090626940359709
1051896,8.0,42.5,0.7363950002817938,3.476319229037264
1051896,6.0,42.25,-0.6229392282748112,3.5096112374789494
1051896,6.25,42.25,-0.7694216511333328,3.8103873137452124
1051896,6.5,42.25,-0.9178864364084995,4.026211368470623
1051896,6.75,42.25,-0.9784192887739109,4.194074522145942
1051896,7.0,42.25,-0.9842955773661086,4.2351474214494775
1051896,7.25,42.25,-0.8075113289960127,4.000827806478687
1051896,7.5,42.25,-0.675684228289117,3.7399766292248664
1051896,7.75,42.25,-0.579964443028256,3.284985847188496
1051896,8.0,42.25,-0.3582938456526971,2.705883478126225
1051896,6.0,42.0,-0.9120101478163017,3.545709468854417
1051896,6.25,42.0,-1.2587111747559734,3.5974970375414834
1051896,6.5,42.0,-1.5448085506724962,3.6082117069250144
1051896,6.75,42.0,-1.5780131211513009,3.6384423812571196
1051896,7.0,42.0,-1.5028249466342636,3.4958352339858383
1051896,7.25,42.0,-1.3846619868706713,3.2761845116234527
1051896,7.5,42.0,-1.349545852632959,3.1941662686042807
1051896,7.75,42.0,-1.262605100931526,2.9070386402432296
1051896,8.0,42.0,-1.3035975237614363,2.536872324159813
1051920,6.0,44.0,-2.2537863092540507,-1.0558583646084525
1051920,6.25,44.0,-1.3280230606808128,-1.563657160035083
1051920,6.5,44.0,-0.7215617585029024,-1.4963078096243163
1051920,6.75,44.0,-0.4813419128001648,-0.8527898686729602
1051920,7.0,44.0,-0.7323231544789754,-0.7657969577257204
1051920,7.25,44.0,-0.9794104699822335,-0.6789316023663798
1051920,7.5,44.0,-1.192302033798364,-0.5597946832685468
1051920,7.75,44.0,-0.7440757316633712,-0.21411904006177274
1051920,8.0,44.0,-0.056549966376225766,0.12875038021121954
1051920,6.0,43.75,-2.284088134765625,-0.5734431311737591
1051920,6.25,43.75,-2.130738242106583,-1.19451128865486
1051920,6.5,43.75,-1.7147253292420719,-1.2618606390656262
1051920,6.75,43.75,-1.4696203761554592,-1.0822623713035826
1051920,7.0,43.75,-0.9764369263572659,-0.8410547545862359
1051920,7.25,43.75,-0.7977411142282621,-0.5910458023038458
1051920,7.5,43.75,0.02451449673300928,0.02708857665557396
1051920,7.75,43.75,0.9414987117468191,0.8845172385138529
1051920,8.0,43.75,1.6290244770339646,1.3981835909838454
1051920,6.0,43.5,-2.216687812599693,0.7898709922926623
1051920,6.25,43.5,-2.032115711878492,0.4186842315060526
1051920,6.5,43.5,-1.7147253292420719,0.10528015203777064
1051920,6.75,43.5,-1.3642011747845848,-0.07342522660897877
1051920,7.0,43.5,-0.6620200873458135,0.25464774546770874
1051920,7.25,43.5,0.21198934242144107,0.8914052402604086
1051920,7.5,43.5,1.0733258124537148,1.6619685467593468
1051920,7.75,43.5,1.7354348596131612,2.3757696166431503
1051920,8.0,43.5,2.049922497282351,2.810351504615652
1051920,6.0,43.25,-1.7567797319380418,2.217600687648169
1051920,6.25,43.25,-0.668887557146334,2.7868812764422035
1051920,6.5,43.25,-0.34951481209326907,2.4714363075675347
1051920,6.75,43.25,0.34778116796162695,2.9275750898949973
1051920,7.0,43.25,0.7412801076656692,3.3766983148880056
1051920,7.25,43.25,1.6182630810578913,4.0174100329055795
1051920,7.5,43.25,1.8594741079689514,4.12774561643837
1051920,7.75,43.25,2.0167179268035462,3.936284679001702
1051920,8.0,43.25,2.332125947023321,4.372907456380591
1051920,6.0,43.0,-1.2831367116753498,3.5369081332893737
1051920,6.25,43.0,-0.212802604002498,4.220478528841072
1051920,6.5,43.0,0.45419155054082366,4.937340932834456
1051920,6.75,43.0,1.1592753829468252,5.5135095233750455
1051920,7.0,43.0,1.4913210877348708,5.868879391262158
1051920,7.25,43.0,1.6905485106076983,5.7224455763539
1051920,7.5,43.0,1.8487127119928783,5.668744673848346
1051920,7.75,43.0,1.9981686784763675,5.306486804214678
1051920,8.0,43.0,2.355560302734375,4.7517475524411505
1051920,6.0,42.75,-0.9471970807117513,4.167798071038711
1051920,6.25,42.75,-0.5311841678472403,4.88070625180722
1051920,6.5,42.75,-0.07899314087895722,5.428557501834193
1051920,6.75,42.75,0.5039630069301618,6.007659870896465
1051920,7.0,42.75,0.7774582217694413,6.0662078857421875
1051920,7.25,42.75,1.0176780674721788,5.978322085679652
1051920,7.5,42.75,1.1319471010602185,5.610196659002623
1051920,7.75,42.75,1.3282009803080783,4.984153833593455
1051920,8.0,42.75,1.7471874367975568,4.361172342293866
1051920,6.0,42.5,-0.6542322349947081,3.8943188905828725
1051920,6.25,42.5,-0.6346918054592068,4.446124363834719
1051920,6.5,42.5,-0.5907258390043292,4.768329778868044
1051920,6.75,42.5,-0.32997438255776784,5.051503184004221
1051920,7.0,42.5,-0.14540228183656634,5.12778142556793
1051920,7.25,42.5,0.0313111678757923,4.976372942731604
1051920,7.5,42.5,0.228627026989712,4.660927973856936
1051920,7.75,42.5,0.3672507988393908,4.090626940359709
1051920,8.0,42.5,0.7363950002817938,3.476319229037264
1051920,6.0,42.25,-0.6229392282748112,3.5096112374789494
1051920,6.25,42.25,-0.7694216511333328,3.8103873137452124
1051920,6.5,42.25,-0.9178864364084995,4.026211368470623
1051920,6.75,42.25,-0.9784192887739109,4.194074522145942
1051920,7.0,42.25,-0.9842955773661086,4.2351474214494775
1051920,7.25,42.25,-0.8075113289960127,4.000827806478687
1051920,7.5,42.25,-0.675684228289117,3.7399766292248664
1051920,7.75,42.25,-0.579964443028256,3.284985847188496
1051920,8.0,42.25,-0.3582938456526971,2.705883478126225
1051920,6.0,42.0,-0.9120101478163017,3.545709468854417
1051920,6.25,42.0,-1.2587111747559734,3.5974970375414834
1051920,6.5,42.0,-1.5448085506724962,3.6082117069250144
1051920,6.75,42.0,-1.5780131211513009,3.6384423812571196
1051920,7.0,42.0,-1.5028249466342636,3.4958352339858383
1051920,7.25,42.0,-1.3846619868706713,3.2761845116234527
1051920,7.5,42.0,-1.349545852632959,3.1941662686042807
1051920,7.75,42.0,-1.262605100931526,2.9070386402432296
1051920,8.0,42.0,-1.3035975237614363,2.536872324159813
